t, x, xd, y, yd
2.471999999999999531e+00,-4.109566124246438190e-01,-7.243810337932208299e-01,5.698146422263193900e-01,3.204249543266857736e-01
2.502899999999999903e+00,-4.326753934446810890e-01,-6.815718630614675533e-01,5.798862982701008528e-01,3.316631524018376354e-01
2.533799999999999830e+00,-4.530900867721515679e-01,-6.399598751138991792e-01,5.903220361579194497e-01,3.439334674142988102e-01
2.564699999999999758e+00,-4.722363460117766087e-01,-5.994577864955420443e-01,6.011487775180390791e-01,3.569229650146097943e-01
2.595599999999999685e+00,-4.901470979926472182e-01,-5.599771483394170302e-01,6.123845458965436750e-01,3.703672667403792862e-01
2.626499999999999613e+00,-5.068525680795619159e-01,-5.214320449602476426e-01,6.240398451338111663e-01,3.840428576957575779e-01
2.657399999999999540e+00,-5.223803973659932876e-01,-4.837414234328131224e-01,6.361188184199306761e-01,3.977605641473969666e-01
2.688299999999999912e+00,-5.367558162179955072e-01,-4.468304695901065271e-01,6.486202222523410610e-01,4.113600724796487862e-01
2.719199999999999839e+00,-5.500018495543694819e-01,-4.106313276716361260e-01,6.615382453196623214e-01,4.247053499209296201e-01
2.750099999999999767e+00,-5.621395370315765971e-01,-3.750833747772252535e-01,6.748631980714422385e-01,4.376808324446168630e-01
2.780999999999999694e+00,-5.731881568145037464e-01,-3.401331991876302419e-01,6.885820947559702088e-01,4.501882577631459159e-01
2.811899999999999622e+00,-5.831654454942563071e-01,-3.057343871149271752e-01,7.026791461687845741e-01,4.621440365937867778e-01
2.842799999999999550e+00,-5.920878094271381231e-01,-2.718471907134725196e-01,7.171361782939050800e-01,4.734770708165678688e-01
2.873699999999999921e+00,-5.999705246512939683e-01,-2.384381276430650454e-01,7.319329894217154742e-01,4.841269414993255582e-01
2.904599999999999849e+00,-6.068279238307903167e-01,-2.054795465233305862e-01,7.470476561485221989e-01,4.940424024954296889e-01
2.935499999999999776e+00,-6.126735695540247439e-01,-1.729491813686035440e-01,7.624567968501265725e-01,5.031801262904351812e-01
2.966399999999999704e+00,-6.175204138975248780e-01,-1.408297101925241879e-01,7.781357997215890832e-01,5.115036580546862277e-01
2.997299999999999631e+00,-6.213809445451541347e-01,-1.091083274527586133e-01,7.940590212379472490e-01,5.189825416145568138e-01
3.028199999999999559e+00,-6.242673179887576751e-01,-7.777633617738469174e-02,8.101999598718442330e-01,5.255915874834437007e-01
3.059099999999999486e+00,-6.261914804735524420e-01,-4.682876298267762971e-02,8.265314090659262591e-01,5.313102583933776435e-01
3.089999999999999858e+00,-6.271652774213368753e-01,-1.626399740622976389e-02,8.430255927684833228e-01,5.361221521224234232e-01
3.120899999999999785e+00,-6.272005520889388785e-01,1.391654421036154013e-02,8.596542862734648516e-01,5.400145649834056094e-01
3.151799999999999713e+00,-6.263092342137438484e-01,4.370873082643708663e-02,8.763889246386959986e-01,5.429781222642614535e-01
3.182699999999999640e+00,-6.245034193735161665e-01,7.310600581162408906e-02,8.932007005707184311e-01,5.450064643057840330e-01
3.213599999999999568e+00,-6.217954397515906839e-01,1.020996543539458151e-01,9.100606533464101755e-01,5.460959788652870461e-01
